Número,Nombre completo,Partido,Trabajó con Petro,Es cercano a Samuel Moreno,Tiene un vínculo directo o indirecto con el carrusel de la contratación,Tiene padrino político,Fue candidato presidencial,Es concejal,Fue concejal,Es víctima,Ha ocupado cargos públicos,Ha estado en más de dos partidos,Tiene maquinaria ,Es delfín,Es mujer,Es cabeza de lista,perfilito,Link foto
70,Isis Yeri Margarita Caicedo Caicedo,Opción Ciudadana,,,,si,,,,,,,,si,si,si,"La hija de Álvaro Caicedo, ex concejal y representante legal del viejo Pin (hoy Opción Ciudadana), no tiene ninguna trayectoria política. Sin embargo, quedó en el primer lugar de Opción Ciudadana. El ex concejal Caicedo, quien fue cabeza de lista hace cuatro años pero se quemó tratando de reelegirse, es nacionalmente famoso por haber invadido el carril exclusivo del Transmilenio, lo que le valió una suspensión de seis meses y una inhabilidad para ocupar cargos públicos de la Procuraduría. Su hija tiene 21 años y es estudiante universitaria. ",http://lasillavacia.com/archivos/historias/concejobogota2015/70.jpg
28,Jairo Cardozo Salazar,Mira,,,,,,si,,,si,,si,,,,"Hace parte del Mira desde hace una década y allí ha ocupado varios cargos como coordinador jurídico y director distrital. Además, trabajo en la UTL de Alexandra Moreno Piraquive entre 2006 y 2008 y con Gloria Stella Díaz entre 2007 y 2009. Quiere repetir en la curul. Es abogado de la Universidad Católica. ",http://lasillavacia.com/archivos/historias/concejobogota2015/28.jpg
84,Javier Orlando Suárez ,Polo,si,,,,,,,,si,,,,,,"Viene del progresismo de Gustavo Petro, donde fue director del Instituto Distrital de Recreación y Deporte, IDRD. Es esgrimista profesional, economista y tiene un máster en políticas públicas de la Université de Cergy-Pontoise. ",http://lasillavacia.com/archivos/historias/concejobogota2015/84.jpg
23,Javier Palacio,La U,,,si,,,si,,,si,,si,,,,Fue edil de Barrios Unidos. Está investigado por la Procuraduría por el carrusel de la contratación y tiene sus bienes embargados por la Fiscalía por estos mismos hechos. Es abogado de la Sergio Arboleda. ,http://lasillavacia.com/archivos/historias/concejobogota2015/23.jpg
96,Jeffer Vega Bobadilla,Cambio Radical,,si,,si,,,,,si,,,,,,"Durante 72 horas, fue subsecretario de Educacion en junio de 2011, durante la Administración de Samuel Moreno pero se cayó por escándalo de red Alma Máter que denunció y por eso, renunció. Trabajó en la Contraloría de Bogotá y con el actual Ministro de Tics, David Luna, en el Ministerio de Trabajo. Hoy Luna apoya su nombre para llegar al Concejo. Es comunicador social y periodista. ",http://lasillavacia.com/archivos/historias/concejobogota2015/96.jpg
118,Jesús Alberto Gaitán Rondón,Polo,,,,,,,,,si,,si,,,,Se lanzó hace cuatro años al concejo sacó más de 5.000 votos y se quemó. Venía de ser edil de Ciudad Bolívar. ,http://lasillavacia.com/archivos/historias/concejobogota2015/118.jpg
119,Jesús Eduardo Gil Yaya,La U,,,,si,,,,,si,,si,,,,"Edil actual de Kennedy donde sacó más cinco mil votos y fue el más votado de La U y el segundo más votando en esa localidad. Según una fuente de La U, lo apoya el grupo del senador Andrés García Succardi. Ya otro candidato de La U, Hector Anibal Quintero renunció a su aspiración para apoyarlo. ",http://lasillavacia.com/archivos/historias/concejobogota2015/119.jpg
33,Jorge Andrés Charry,Progresistas,si,,,,,,,,si,,,,,,Trabajó en la Secretaría de Desarrollo Económico en la subdirección de ruralidades durante el Gobierno de Gustavo Petro. Es profesor universitario. ,http://lasillavacia.com/archivos/historias/concejobogota2015/33.jpg
13,Jorge Durán Silva,Liberal,,,si,,,si,,,si,,si,,,,"Durán es uno de los 'cacaos' del Concejo: ha ocupando su curul desde 1978, siempre por el Partido Liberal. Ha sido mencionado en el carrusel de la contratación por el contratista preso Emilio Tapia que dijo que Durán Silva era uno de los ""vip"" a los que les daban contratos en distintas secretarías en la ciudad y es uno de los concejales a los que la Procuraduría les reabrió las investigaciones este mes. Hace cuatro años sacó más de 18 mil votos y éste quiere repetir, en lo que sería su período número 15 en el Concejo. ",http://lasillavacia.com/archivos/historias/concejobogota2015/13.jpg
51,Jorge Eduardo Torres Camargo,Alianza Verde,,,,,,,,,si,,,,,,Es mockusiano. Fue el segundo de la lista al Concejo de Juan Carlos Florez hace cuatro años. Ha trabajado en Corpovisionarios y en la Unidad de apoyo Normativo de Florez. ,http://lasillavacia.com/archivos/historias/concejobogota2015/51.jpg
64,Jorge Lozada Valderrama,Cambio Radical,,,,,,si,,,si,,,,,,"Caqueteño. Fue director de Rentas de Cundinamarca, concejal de San Vicente del Caguán y Albania, diputado en el Caquetá y comisionado de paz en ese departamento en el gobierno de Betancur. Después de que su hermano Ricaurte Lozada perdió su investidura como senador en 1994, llegó al concejo de Bogotá como liberal en 1997 y en 2000. En 2003, fue quinto en la lista de Enrique Peñalosa y se quemó pero regresó a reemplazar a Ángel Custodio Cabrera en 2004 y volvió al partido Liberal en 2006. Se quemó en 2007 con ese partido pero regresó hace cuatro años en Cambio Radical con 11 mil votos. Ahora quiere repetir en su curul. ",http://lasillavacia.com/archivos/historias/concejobogota2015/64.jpg
113,Jorge Pastran Pastran,Liberal,,,,,,,si,,si,,,,,,"Ex concejal de Bogotá durante dos períodos en los años 90 que salió bien librado de un escándalo por auxilios en el Concejo de la ciudad. Ahora quiere repetir, después de estar años por fuera de la política. ",http://lasillavacia.com/archivos/historias/concejobogota2015/113.jpg
57,José Arthur Bernal Amorocho,Cambio Radical,,,,,,si,,,si,,,,,,"Fue dirigente sindical en los años 80 y ha hecho su carrera política en Soacha donde fue concejal entre 1990 y 1995 y después entre el 2004 y el 2011. Aunque aspiró a la Alcaldía de ese munciipio en el 2000, inscrito por uno de los Ramírez Vargas (la casa política que dominó el municipio), se quemó. Es cristiano de la iglesia Manantial de Vida Eterna y hermano de Jesus Bernal, el ex congresista del Polo. Tiene su fortín en Bosa. ",http://lasillavacia.com/archivos/historias/concejobogota2015/57.jpg
95,José Castellanos Orjuela,Cambio Radical,,,,si,,,,,,,,,,,"Abogado rosarista, edil de Cambio Radical en Teusaquillo. Fue director de juventudes de Cambio Radical y es el candidato del senador Carlos Fernando Galán. ",http://lasillavacia.com/archivos/historias/concejobogota2015/95.jpg
111,José Yamid Sanmiguel,Liberal,,,,,,,,,si,,si,,,,"Dos veces edil en Suba. Hace cuatro años, sacó la mayor votación del partido en esa localidad.  ",http://lasillavacia.com/archivos/historias/concejobogota2015/111.jpg
69,Josías Fiesco Agudelo,Conservador,,,,si,,,,,,,,,,,"Estuvo en la campaña presidencial de Marta Lucía Ramírez el año pasado en el grupo de jóvenes y es el candidato que Ramírez está apoyando al Concejo. Es caleño y estudiante de Ciencia Política de la Javeriana. Fue ""alcalde de los niños"" en Cali en 2004. ",http://lasillavacia.com/archivos/historias/concejobogota2015/69.jpg
112,Juan Carlos Almonacid,Liberal,,,,,,,,,si,,si,,,,"Es arquitecto y el ex alcalde local de Teusaquillo en 2008. Trabajó con la Contraloría ante el Inscredial (antiguo Instituto de Crédito Territorial) y fue director de construcciones del D.A.S, trabajó con Catastro Distrital y con el Idu. ",http://lasillavacia.com/archivos/historias/concejobogota2015/112.jpg
35,Juan Carlos Flórez ,Asi,,,,,,si,,,si,,,,,si,"El historiador y dos veces concejal de Bogotá. Ha sido profesor de varias universidades, director del departamento de Historia de la Universidad de los Andes, periodista, consultor y blogger de La Silla Vacía. Su paso por la dirección de la sección Bogotá de El Tiempo y por el Concejo de la ciudad y su bagaje académico lo hacen un experto en asuntos urbanos. Ha intentado, sin éxito, ser alcalde de Bogotá y congresista por Compromiso Ciudadano.",http://lasillavacia.com/archivos/historias/concejobogota2015/35.jpg
120,Juan Carlos Mejía Cabezas,La U,,,,si,,,,,,,si,,,,Es cristiano y odontólogo de la Universidad Santo Tomás. Fue director del Ministerio de Profesionales y Empresarios Cristianos. Es el candidato del senador cristiano Jimmy Chamorro al Concejo. ,http://lasillavacia.com/archivos/historias/concejobogota2015/120.jpg
65,Juan Felipe Grillo Carrasco,Cambio Radical,,,,si,,,,,si,,,,,,"Edil de Chapinero entre 2008 y 2011, apoyado por la familia Ríos. Trabajó con Felipe Ríos, que ganó una curul en el concejo en el 2007 con Cambio Radical y es hijo del reconocido empresario Alberto Ríos, dueño de la empresa Servigenerales, que tiene contratos millonarios con el Distrito, principalmente en recolección de basuras. Sus tíos y primos también tienen contratos para la operación de Transmilenio y  el manejo de residuos peligrosos. Es abogado de la Universidad de los Andes y se ha quemado dos veces: hace cuatro años cuando trató de saltar al Concejo y hace un año cuando intentó llegar a la Cámara de Bogotá. ",http://lasillavacia.com/archivos/historias/concejobogota2015/65.jpg
59,Julio César Acosta,Cambio Radical,,,si,,,si,,,si,,si,,,,"Es el hijo del ex gobernador de Arauca, Julio Bernal Acosta, condenado por parapolítica y por el homicidio del registrador de Arauca en 2003. A pesar de que ha sido cuestionado por personas dentro de su partido como Carlos Fernando Galán (que hace cuatro años pidió infructuosamente que le quitaran el aval), Acosta aspira a conservar su curul por tercera vez. Está siendo investigado actualmente por su participación en el carrusel de la contratación por la Procuradurìa y la Fiscalía le embargó bienes por mil 200 millones de pesos en Bogotá dentro del mismo caso. Antes de ser concejal fue jefe de presupuesto de la asociación campesina Comcaja. Es administrador de empresas y tiene una maestría en la misma carrera. ",http://lasillavacia.com/archivos/historias/concejobogota2015/59.jpg
126,Lina Salas,Libres,,,,,,,,,,,si,,si,,Es pastora de la iglesia Fortaleza Internacional.,http://lasillavacia.com/archivos/historias/concejobogota2015/126.jpg
42,Lucía Bastidas Ubaté,Alianza Verde,,,,,,si,,,si,,,,si,,"Esta peñalosista pura sangre llegó al Concejo después de la captura del ex concejal José Juan Rodríguez, investigado por el carrusel de la contratación. Antes, había sido asesora en la Gobernación de Cundinamarca, Comisión Nacional de Televisión, Coordinadora Regional de la Comisión Nacional de Reparación y Reconciliación. Fue parte del gabinete del exalcalde Lucho Garzón como Directora del hoy IDPAC. Viene de ser directora de Democracia, Participación Ciudadana y Acción Comunal del Ministerio del Interior. Es comunicadora social y periodista y tiene una maestría en Ciencia Política. ",http://lasillavacia.com/archivos/historias/concejobogota2015/42.jpg
87,Luis Alfonso Castillo,UP,,,,,,,,si,,,,,,,"Es historiador. Fue víctima del genocidio contra la Unión Patriótica, de la que es miembro, pero sobrevivió. Defensor de derechos humanos y líder de víctimas, al punto que llegó a ser representante en la mesa nacional de víctimas. Es miembro del Móvice, el movimiento de víctimas de crímenes de estado. ",http://lasillavacia.com/archivos/historias/concejobogota2015/87.jpg
125,Luis Andrés Montaño,Libres,,,,,,,,,,,si,,,,Presidente de la Asociación de Ministros Emprendedores y director del programa de televisión “Un café con fe”,http://lasillavacia.com/archivos/historias/concejobogota2015/125.jpg
123,Luis Diofante Lorduy,Libres,,,,,,,,,si,,si,,,si,"Aunque Lorduy fue candidato a la Cámara por el Centro Democrático en el Atlántico, es un viejo militante de la iglesia cristiana Centro Mundial de Avivamiento del candidato a la Alcaldía, Ricardo Arias Mora. Lorduy es profesional con maestría en relaciones internacionales. Trabajo en el Departamento Nacional de Planeacion en gestión de proyectos de cooperación internacional, en la Presidencia de la República como asesor para asuntos de cooperación y agroindustrial y el CORPES de la costa atlántica. Fue director del Plan Colombia en su componente militar con el Ministerio de Defensa con el apoyo del Gobierno de los EEUU y asesor político del despacho de Juan Manuel Santos cuando era Ministro de Defensa.",http://lasillavacia.com/archivos/historias/concejobogota2015/123.jpg
105,Luis Fernando Rosas,Opción Ciudadana,si,,,,,,,,si,si,,,,,"El ex director del Instituto Distrital de Turismo de Bogotá en la Alcaldía de Petro es un candidato tuttifruti. Hace cuatro años aspiró por Aico a la Alcaldía de Bogotá (aunque al final le quitaron el aval), luego entró al distrito como Progresista. Desde el año pasado, intentó llegar al Concejo por el uribismo pero no quedó en la lista y ahora está inscrito por Opción Ciudadana. Es politólogo y comunicador social. ",http://lasillavacia.com/archivos/historias/concejobogota2015/105.jpg
17,Luz Marina Gordillo,Liberal,,,si,si,,,,,,,,si,si,,"La esposa del concejal Darío Fernando Cepeda, que ha sido mencionado dentro del 'carrusel de la contratación' y fue el concejal más votado hace cuatro años en Cambio Radical, hereda los votos de su marido pero por el Partido Liberal. Es psicóloga de la Universidad de la Sabana.  Tiene una fundación de promoción y prevención de consumo de drogas en jóvenes. Esta sería la tercera vez que se aspira a elegirse: ya se había lanzado a la Cámara en 2010 cuando se quemó con 18 mil votos.",http://lasillavacia.com/archivos/historias/concejobogota2015/17.jpg
74,Manuel Sarmiento ,Polo,,,,si,,,,,si,,,,,,"Es abogado del Externado y uno de los fundadores del ""Polo Jóven"". Se vinculó al sindicalismo y ayudor a crear la publicación Tribuna Obrera. Luego, hizo parte de la UTL del senador del Polo, Jorge Enrique Robledo y fue su mano derecha para ganar la demanda de inconstitucionalidad ante la Corte contra la “Ley Lleras” y en debates, como el de Agro Ingreso Seguro, los Tratados de Libre Comercio, el de la corrupción en Saludcoop y la relación del ex embajador Carlos Urrutia en la apropiación de baldíos del Estado. Su campaña tiene el respaldo del Senador Robledo, el Representante a la Cámara, Germán Navas Talero y el ex candidato a la Alcaldía de Bogotá, Aurelio Suárez, entre otros. ",http://lasillavacia.com/archivos/historias/concejobogota2015/74.jpg
71,Marco Fidel Suárez Antonio,Opción Ciudadana,,,,,,si,,,si,,si,,,,"Cristiano, fue jefe de libertad religiosa de Mininterior en 1992. Personero local de Bosa, asesor en el Senado, la Cámara y el Concejo. Fue candidato a la Cámara por Sí Colombia en 2002 y por Convergencia Ciudadana en 2006. Es pastor de la Iglesia Familiar Internacional. Hace cuatro años sacó casi 8 mil votos y fue el único elegido del otrora Pin. Es periodista de la Sabana y politólogo de la Universidad de los Andes. ",http://lasillavacia.com/archivos/historias/concejobogota2015/71.jpg
45,María Clara Name Ramírez,Alianza Verde,,,,,,si,,,si,,,,si,,Es abogada de la Universidad de la Sabana e hija del senador verde barranquillero Iván Name y de la exconcejal María Clara Ramírez. Sobrina y prima en segundo grado de los excongresistas José Name Terán y José David Name. En este último período se convirtió en la presidenta más jóven que ha elegido el Concejo. ,http://lasillavacia.com/archivos/historias/concejobogota2015/45.jpg
41,María Fernanda Rojas Mantilla,Alianza Verde,si,,,,,si,,,si,,,,si,,"Ex directora del Idu, llegó al Concejo en diciembre del 2013 en reemplazo de Angélica Lozano que renunció para lanzarse a la Cámara. Es comunicadora social de la Universidad de La Sabana y tiene una maestría en problemas económicos del Externado. Fue edil de Teusaquillo por el Polo en el 2007.",http://lasillavacia.com/archivos/historias/concejobogota2015/41.jpg
56,María Fernanda Valencia Falquez,Cambio Radical,,,,si,,,,,si,,,,si,,"Esta cartagenera es la candidata que está apoyando el representante a la Cámara y presidente de Cambio Radical, Rodrigo Lara.  En 2010 se lanzó a la Cámara por La U y anunció que de ganar, se desnudaría en Soho. Al final, perdió. Fue presentadora del magazín Panorama y en el 1,2,3 de Canal Uno. También viceministra de Turismo del Gobierno de Ernesto Samper, de quien se considera muy amiga. Después de su fallida campaña dirigió Artesanías de Colombia entre 2010-2011. Es abogada con master en ciencia política de la Javieriana. ",http://lasillavacia.com/archivos/historias/concejobogota2015/82.jpg
12,María Victoria Vargas,Liberal,,si,,,,si,,,si,,si,,si,,"Fue concejal desde 1992 hasta el 2006, cuando renunció para saltar a la Cámara. Entonces se quemó y otra vez se quemó en 2007 tratando de volver al Concejo. Regresó en el 2010, en reemplazo de Gilma Jiménez y fue una de las concejales que hizo parte de la coalición de gobierno de Samuel Moreno durante su administración. En 2011 volvió a quedar elegida con 18.133 votos. Es tía del Representante a la Cámara Liberal, Juan Carlos Losada y abogada de la Universidad del Rosario. ",http://lasillavacia.com/archivos/historias/concejobogota2015/12.jpg
18,Marío Andrés Galán Galán,Liberal,,,,,,,,,,,,,,,"Hijo de Antonio Galán y sobrino de Luis Carlos Galán. Sin embargo, ninguno de sus primos senadores (Juan manuel Galán y Carlos Fernando Galán) lo está apoyando en estas elecciones. Es arquitecto de la Universidad Piloto y tiene una maestría en Restauración del Politécnico de Madrid. ",http://lasillavacia.com/archivos/historias/concejobogota2015/18.jpg
15,Martha Janeth Plata Navas,Liberal,si,,,,,,,,,,,,si,,"Esta santandereana es odontóloga de la Universidad Javeriana. Hace cuatro años fue la jefe de finanzas de la campaña de Gustavo Petro a la Alcaldía de Bogotá y le donó 25 millones de pesos a esa campaña, donde fue una de las fichas claves para conseguir recursos. Es muy cercana al abogado Álex Vernot, amigo personal de Petro y quien para muchos era su asesor a la sombra. No ha ocupado cargos públicos. Cuando Petro ganó la Alcaldía, “la porfueriaron” y el único cargo cercano que obtuvo fue ser suplente de la junta directiva de la ETB en 2012. Fue esposa del ex viceministro de Turismo de Álvaro Uribe, Óscar Rueda García, quien durante las elecciones del año pasado fue secretario general del partido de La U. En junio del 2011 y en pleno escándalo de SaludCoop, Daniel Coronell reveló que en septiembre de 2007 y mientras su esposo era viceministro, Plata era la gerente de una empresa familiar de producción y suministro de polietilenos que era la principal proveedora de esas EPS. Sin embargo, pinta fuerte: tiene vínculos en grupos cristianos, que en Bogotá son electoralmente poderosos. El lío es que son de la iglesia Casa sobre la Roca, a la que pertenence la senadora liberal Viviane Morales, que tiene un candidato propio al Concejo. Y tiene acceso al ciclopoder en Bogotá porque uno de sus hijos es dueño de la bicicletería Tomacorriente.",http://lasillavacia.com/archivos/historias/concejobogota2015/15.jpg
91,Mauricio Molano Camacho,Liberal,,,,,,,,,si,,,,,,"El economista es el heredero de Ponqué Ramo, donde ha sido gerente y ha estado en la junta directiva. Tiene una maestría en Educación de la Universidad Nova en Estados Unidos. Fue gerente de la Empresa de Acueducto de Bogotá por el Nuevo Liberalismo de Luis Carlos Galán. Además, ha sido profesor universitario y columnista de Portafolio y La República.",http://lasillavacia.com/archivos/historias/concejobogota2015/91.jpg
89,Mauricio Rubiano Bello,Liberal,,,,,,,,,,,si,,,,"El Secretario Técnico del Programa País Colombia de la Federación de Sindicatos Nacionales (FNV), la mayor organización sindical de Holanda y asesor de la Confederación de Trabajadores de Colombia, CTC. Por eso, cuenta con el apoyo de varios sindicatos en Bogotá. ",http://lasillavacia.com/archivos/historias/concejobogota2015/89.jpg
58,Milred Casallas de Ángel,Cambio Radical,,,si,si,,,,,,,,,si,,"Es la candidata de Fernando López, el actual concejal de Cambio que sacó 11.477 votos hace cuatro años y es concejal desde 1998. López fue uno de los concejales a quien la Fiscalía le embargó sus bienes dentro de la investigación del carrusel de contratación. Es administradora financiera y ha trabajado en empresas como Jaime Torres & Cia., Federación Nacional de Cafeteros, Cablecentro, Etell/ETB, Conexatel. ",http://lasillavacia.com/archivos/historias/concejobogota2015/58.jpg
22,Nelly Patricia Mosquera,La U,,si,,si,,si,,,si,,si,,si,,"Concejal desde el 2004 cuando llegó a reemplazar a Guillermo Fino, ex director de la Dian condenado.  Durante la administración de Samuel Moreno, Mosquera hizo parte de su coalición de Gobierno en el Concejo. Su base son las madres comunitarias que heredó de su jefe político, el senador Angel Custodio Cabrera. Es administradora de empresas de la Universidad de los Andes. ",http://lasillavacia.com/archivos/historias/concejobogota2015/22.jpg
79,Nelson Castro Rodríguez,Polo,si,,,,,,,,si,,si,,,,"Es el presidente de Sintraserpucol, el sindicato más reciente del Acueducto de Bogotá que tiene entre 2 mil y 3 mil afiliados. Castro tuvo que pedir una licencia no remunerada en el sindicato para poder aspirar. Sin embargo, el otro sindicato del Acueduecto, Sintraemsdes, demandó su aspiración.",http://lasillavacia.com/archivos/historias/concejobogota2015/79.jpg
107,Nelson Cubides,Conservador,,,,si,,,,,si,,,,,,"Es el candidato de la familia Tamayo, el senador Fernando Tamayo y la concejal actual Soledad Tamayo que no va a lanzarse este año y que fue una de las que hizo parte de la coalición de Gobierno de Samuel Moreno en el Concejo. Cubides ha sido su asesor por muchos años. Además es profesor universitario. ",http://lasillavacia.com/archivos/historias/concejobogota2015/107.jpg
34,Nestor García,Progresistas,si,,,,,,,,si,,,,,,Ex secretario de ambiente de Petro. Fue representante a la Cámara por Alianza Democrática y candidato a la alcaldía de Bogotá en 1994 por movimiento 19 de abril. Estuvo en el partido Verde Opción Centro y es muy amigo de Carlos Ramón González y de Petro desde las épocas del M-19. Su hijo Nestor Daniel es candidato a la Gobernación del Quindío. ,http://lasillavacia.com/archivos/historias/concejobogota2015/34.jpg
97,Octavio Rubio Rengifo,Asi,,,,,,,,,,,si,,,,"Abogado y sindicalista, ha sido coordinador de la Confederación General de Trabajadores, CGT, y actual vicepresidente del Comité de Juventud de CSACSI. ",http://lasillavacia.com/archivos/historias/concejobogota2015/97.jpg
47,Olga Lucía Serrano Falla,Alianza Verde,,,,,,,,,si,,si,,si,,"Edil peñalosista de Usaquén desde 1995 y ahora quiere dar el brinco al Concejo. En las elecciones de hace cuatro años, sacó la segunda votación más alta de Bogotá para las Jal. Conoció a Enrique Peñalosa en el Instituto Colombiano de Ahorro y Vivienda cuando ella era jefe de prensa. Es comunicadora social de la Universidad Jorge Tadeo Lozano. Su hija, Carolina Peña, es la ex secretaria privada de Rodrigo Lara, y la quiere reemplazar en la Jal con el aval de Cambio Radical. ",http://lasillavacia.com/archivos/historias/concejobogota2015/47.jpg
27,Olga Victoria Rubio Cortés,Mira,,,,,,si,,,si,,si,,si,,Hace parte del Mira desde que se fundó el partido y este año quiere repetir en el concejo. Se quemó a la Asamblea de Cundinamarca en 2007 y fue cuarto renglón al senado en el 2010. Hace cuatro años fue la cabeza de lista del partido. Es abogada.,http://lasillavacia.com/archivos/historias/concejobogota2015/27.jpg
109,Omar Sanchez Guarín,Conservador,,,,,,,,,si,,,,,,"Ex alcalde de Socotá, Boyacá y director ejecutivo de la Fundación Encuentros Boyacenses que hace festivales de gastronomía y folckor boyacense que tiene acogida entre los boyacenses en Bogotá. ",http://lasillavacia.com/archivos/historias/concejobogota2015/109.jpg
81,Orsinia Polanco,Polo,,,,,,,,,si,,si,,si,,"Líder indígena Wayuu y ex representante a la Cámara elegida en 2006 con casi 30 mil votos por la circunscripción indígena y el aval del Polo. Así se convirtió en la primera indígena que llegó al Congreso. Es licenciada en etnoeducación, hija de un palabrero de La Guajira y quinta entre ocho hermanos, a los que se suman otros 30 medio hermanos. Enseñaba su lengua en las universidades Nacional y Javeriana, de Bogotá. En el 2010 volvió a aspirar a la Cámara por la circunscripción indígena, y aunque su lista sacó más de 50 mil votos, le ganó el voto en blanco y se tuvieron que repetir las elecciones y ella no pudo aspirar. El año pasado lideró el sector indígena en la campaña presidencial de Clara López. ",http://lasillavacia.com/archivos/historias/concejobogota2015/81.jpg
127,Óscar William Florez Ortega,Mais,,,,,,,,,,,,,,si,"Tras el fallido acuerdo con los progresistas, el Mais eligió como cabeza de lista de su partido a Flórez, un campesino y líder social del Putumayo. Aunque en principio sonaron algunos consejeros y líderes indígenas del Mais como Juvenal Arrieta o Luis Fernando Arias, ellos finalmente no pudieron lanzarse por decisión de las autoridades indígenas que decidieron que no podían aspirar a cargos de elección popular.",http://lasillavacia.com/archivos/historias/concejobogota2015/127.jpg
6,Pedro Javier Santiesteban Millan,Centro Democrático,,si,,si,,,,,,,si,,,,"Santiesteban llega al concejo como heredero de la estructura política de su hermano, el tres veces concejal del Polo, Orlando Santiesteban que hizo parte de la coalición de gobierno con la que gobernó el ex exalcalde Samuel Moreno. Orlando, sin embargo, no ha sido mencionado dentro de la investigación del 'carrusel' de contratación. Javier es licenciado en administración educativa de la Universidad Antonio Nariño. Ha dedicado la mayor parte de su carrera a ser rector y docente en los colegios privados de su familia, cinco en total, en Bogotá y Cundinamarca. Los maestros de esos colegios son la base del electorado con la que su hermano, Orlando, que en las dos ultimas elecciones ha mantenido su caudal casi estable con más de 10.000 votos. Además, Pedro Javier aspiró a la Cámara por el Centro Democrático el año pasado en el puesto siete pero se quemó.",http://lasillavacia.com/archivos/historias/concejobogota2015/6.jpg
20,Pedro Rojas Herrera,La U,,si,si,si,,,,,si,,,,,,"Rojas quiere llegar al Concejo heredando la estructura del exconcejal condenado por su participación en el ‘carrusel de la contratación, Andrés Camacho Casado. De hecho, Rojas está usando el mimso logo que usó Casado hace cuatro años. Fue edil de la localidad de Kennedy mientras Camacho Casado era alcalde local. Es abogado especializado en derecho constitucional con experiencia en el sector privado. En el 2010, durante la administración de Samuel Moreno, fue designado coordinador del proyecto Misión Bogotá que en ese entonces atendía a 1023 jóvenes de estratos bajos y recibían capacitaciones en el Sena.",http://lasillavacia.com/archivos/historias/concejobogota2015/20.jpg
121,Ricardo Andrés Correa,La U,,,si,si,,,,,,,,si,,,"El hijo menor del uno de los ""cacaos"" del Concejo, Severo Correa, que ha sido elegido consecutivamente desde 1990, primero como conservador y luego por La U en 2007, y fue uno de los concejales consentidos de la Administración de Samuel Moreno y está investigado por el carrusel de la contratación. Además del apoyo de su papá, Ricardo Andrés cuenta con el de su hermano, el representante a la Cámara, Carlos Correa y de la concejal actual Ximena Toro que este año no buscará la reelección. ",http://lasillavacia.com/archivos/historias/concejobogota2015/121.jpg
99,Ricardo Cañon Díaz,Alianza Verde,,,,,,,,,si,,,,,,"Candidato hace cuatro años al Concejo pero se quemó con casi 7 mil votos, debajo de Lucía Bastidas. Es abogado de la Universidad Libre y tiene una maestría en gobierno municipal del Externado. Trabajó durante 23 años en el IDRD en distintos cargos como abogado. ",http://lasillavacia.com/archivos/historias/concejobogota2015/99.jpg
117,Rigoberto Niño Corredor,Polo,si,,,,,,,,si,,,,,,"El ex subsecretario de gobierno de Guillermo Asprilla en era Petro y secretario encargado en esa Secretaria. Es economista de la  Universidad Nacional del grupo del Instituto de Estudios Urbanos (de donde también salieron Ricardo Bonilla, María Mercedes Maldonado y Gerardo Ardila, ex secretarios de Petro). Fue subdirector del IDPAC y este año, encabezó una de las listas al congreso del Polo.  ",http://lasillavacia.com/archivos/historias/concejobogota2015/117.jpg
55,Roberto Hinestrosa Rey,Cambio Radical,,,,,,si,,,si,,si,,,si,"Aunque sonó como candidato de Cambio Radical a la Alcaldía, decidió repetir en el Concejo después de que en su partido no tuvo mucha acogida su aspiración. Hinestrosa es abogado y decano de la Universidad Externado donde fue fundador de la Facultad de Gobierno y Relaciones internacionales. Es hijo del ex rector de esa universidad, Fernando Hinestrosa. Además ha sido viceministro de Justicia cuando el ministro era Andrés González (entre 1992 y 1994) y después pasó a ser el secretario de despacho de González en la Gobernación de Cundinamarca.",http://lasillavacia.com/archivos/historias/concejobogota2015/55.jpg
102,Rodolfo Rincón Sosa,Cambio Radical,,,,,si,,,,,si,,,,,"Es torero, mejor conocido como ""El Tunjo"". Fue candidato presidencial en 2002 por el Partido Independiente Neutral y en 2010 aspiró al Senado por el Partido  Conservador. También fue candidato a la Alcaldía de Bogotá y se hizo famoso por proponer como solución a la movilidad que los carros tuvieran una hélice en el techo. Es ""abogado empírico"".  ",http://lasillavacia.com/archivos/historias/concejobogota2015/102.jpg
101,Rodrigo Lozano Vila,Cambio Radical,,,,,,,,,,,,,,,"Abogado de la Universidad de los Andes. Luego de haber trabajado en dos firmas fundó Lozano Vila & Asociados en el año 2002, donde se especializa en derecho corporativo y en la asesoría a familias y empresas de familia. Es profesor de derecho comercial en el Cesa. Nunca ha hecho política.",http://lasillavacia.com/archivos/historias/concejobogota2015/101.jpg
66,Roger José Carrillo Campo,Conservador,,,,,,si,,,si,,si,,,si,"Ha sido director de Colpensiones (la parte de pensiones ISS) y director administrativo del Senado en 2004 con apoyo del senador costeño Efraín Cepeda. Fue presidente del ISS pero terminó destituido por un escándalo de corrupción. Hace cuatro años sacó 7.610 votos y se quedó con la tercera curul azul, detrás de Tamayo y Mejía.",http://lasillavacia.com/archivos/historias/concejobogota2015/66.jpg
63,Rolando González García,Cambio Radical,,,,,,,,,si,,si,,,,Actual edil de Chapinero. Es abogado y ha trabajado asesor de la Procuraduría y la Fiscalía y la Registraduría Nacional. ,http://lasillavacia.com/archivos/historias/concejobogota2015/63.jpg
