name,thumbnail,url,jsLibIds,githubUrl,tags,release,examples,documentation,author
phylowidget,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/sdwfrost/phylowidget,,https://github.com/sdwfrost/phylowidget,,,,,sdwfrost
sweep,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/jalapic/sweep,,https://github.com/jalapic/sweep,,,,,jalapic
testjs,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/kbroman/testjs,,https://github.com/kbroman/testjs,,,,,kbroman
highchartR,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/jcizel/highchartR,,https://github.com/jcizel/highchartR,,,,,jcizel
great-circles,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/homeaway/great-circles,,https://github.com/homeaway/great-circles,,,,,homeaway
sparklines,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/Bart6114/sparklines,,https://github.com/Bart6114/sparklines,,,,,Bart6114
highchartR,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/jcizel/highchartR,,https://github.com/jcizel/highchartR,,,,,jcizel
rWordCloud,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/adymimos/rWordCloud,,https://github.com/adymimos/rWordCloud,,,,,adymimos
c3r,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/HarlanH/c3r,,https://github.com/HarlanH/c3r,,,,,HarlanH
dcStockR,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/yutannihilation/dcStockR,,https://github.com/yutannihilation/dcStockR,,,,,yutannihilation
scatterMatrixD3,https://dl.dropboxusercontent.com/u/38618778/isotope/htmlwidgets/img/missing.png,https://github.com/jcizel/scatterMatrixD3,,https://github.com/jcizel/scatterMatrixD3,,,,,jcizel
