name,thumbnail,url,jsLibIds,githubUrl,tags,release,examples,documentation,author
datamaps,img/datamaps.png,https://github.com/htmlwidgets/datamaps,"datamaps,d3",https://github.com/htmlwidgets/datamaps,"visualization,maps",alpha,,,ramnathv
rChartsCalmap,img/rChartsCalmap.png,https://github.com/ramnathv/rChartsCalmap,d3,https://github.com/ramnathv/rChartsCalmap,"visualization,calendar,heatmap",stable,,,ramnathv
leaflet,img/leaflet.png,http://rstudio.github.io/leaflet/,leaflet,https://github.com/rstudio/leaflet,"visualization,maps",stable,,,rstudio
DT,img/DT.png,http://rstudio.github.io/DT/,DT,https://github.com/rstudio/DT,tables,stable,,,rstudio
dygraphs,img/dygraphs.png,http://rstudio.github.io/dygraphs/,dygraphs,https://github.com/rstudio/dygraphs,"visualization,timeseries",stable,,,rstudio
metricsgraphics,img/metricsgraphics.png,http://hrbrmstr.github.io/metricsgraphics/,"metricsgraphicsjs,d3",https://github.com/hrbrmstr/metricsgraphs,"visualization,general",stable,,,hrbrmstr
streamgraph,img/streamgraph.png,http://hrbrmstr.github.io/streamgraph/,d3,https://github.com/hrbrmstr/streamgraph,"visualization,general",stable,,,hrbrmstr
networkD3,img/networkD3.png,http://christophergandrud.github.io/networkD3/,d3,http://github.com/christophergandrud/networkD3/,"visualization,networks",stable,,,christophergandrud
rthreejs,img/rthreejs.png,https://github.com/bwlewis/rthreejs,threejs,https://github.com/bwlewis/rthreejs,"visualization,3D",stable,,,bwlewis
DiagrammeR,img/DiagrammeR.png,http://rich-iannone.github.io/DiagrammeR/,"d3,viz,mermaid",http://rich-iannone.github.io/DiagrammeR/,"visualization,diagram",stable,,,rich-iannone
sigmaGraph,img/sigmaGraph.png,https://github.com/jpmarindiaz/sigmaGraph,sigma,https://github.com/jpmarindiaz/sigmaGraph,"visualization,networks",alpha,,,jpmarindiaz
bubbleCloud,img/bubbleCloud.png,https://github.com/jpmarindiaz/bubbleCloud,sigma,https://github.com/jpmarindiaz/bubbleCloud,"visualization,bubbles",alpha,,,jpmarindiaz
d3plus,img/d3Plus.png,https://github.com/jpmarindiaz/d3plus,"d3plus,d3",https://github.com/jpmarindiaz/d3plus,"visualization,networks",alpha,,,jpmarindiaz
isotope,img/isotope.png,https://github.com/jpmarindiaz/isotope,isotope,https://github.com/jpmarindiaz/isotope,grid,alpha,,,jpmarindiaz
D3TableFilter,img/D3TableFilter.png,https://github.com/ThomasSiegmund/D3TableFilter,"tableFilter,d3",https://github.com/ThomasSiegmund/D3TableFilter,tables,stable,,,ThomasSiegmund
rhandsontable,img/rhandsontable.png,https://github.com/jrowen/rhandsontable/,handsontable,https://github.com/jrowen/rhandsontable/,tables,alpha,,,jrowen
rcdimple,img/rcdimple.png,https://github.com/timelyportfolio/rcdimple,"dimple,d3",https://github.com/timelyportfolio/rcdimple,"visualization,general",stable,http://www.buildingwidgets.com/blog/2015/3/18/week-11-dimple-as-htmlwidget,,timelyportfolio
sortableR,img/sortableR.png,https://github.com/timelyportfolio/sortableR,"sortablejs,d3",https://github.com/timelyportfolio/sortableR,"visualization,general",stable,http://www.buildingwidgets.com/blog/,,timelyportfolio
parcoords,img/missing.png,https://github.com/timelyportfolio/parcoords,"parcoords,d3",https://github.com/timelyportfolio/parcoords,"visualization,general",stable,http://www.buildingwidgets.com/blog/,,timelyportfolio
listviewer,img/missing.png,https://github.com/timelyportfolio/listviewer,"listviewer,d3",https://github.com/timelyportfolio/listviewer,"visualization,general",stable,http://www.buildingwidgets.com/blog/,,timelyportfolio
svgPanZoom,img/missing.png,https://github.com/timelyportfolio/svgPanZoom,svgPanZoom,https://github.com/timelyportfolio/svgPanZoom,"visualization,general",stable,http://www.buildingwidgets.com/blog/,,timelyportfolio
exportwidget,img/missing.png,https://github.com/timelyportfolio/exportwidget,exportwidget,https://github.com/timelyportfolio/exportwidget,"visualization,general",stable,http://www.buildingwidgets.com/blog/,,timelyportfolio
trailr,img/missing.png,https://github.com/timelyportfolio/trailr,trailr,https://github.com/timelyportfolio/trailr,"visualization,general",stable,http://www.buildingwidgets.com/blog/,,timelyportfolio
imageR,img/missing.png,https://github.com/timelyportfolio/imageR,imageR,https://github.com/timelyportfolio/imageR,"visualization,general",stable,http://www.buildingwidgets.com/blog/,,timelyportfolio
plottableR,img/missing.png,https://github.com/timelyportfolio/plottableR,,https://github.com/timelyportfolio/plottableR,,,,,timelyportfolio
chartist,img/missing.png,https://github.com/yutannihilation/chartist,,https://github.com/yutannihilation/chartist,,,,,yutannihilation
phylowidget,img/missing.png,https://github.com/sdwfrost/phylowidget,,https://github.com/sdwfrost/phylowidget,,,,,sdwfrost
sweep,img/missing.png,https://github.com/jalapic/sweep,,https://github.com/jalapic/sweep,,,,,jalapic
testjs,img/missing.png,https://github.com/kbroman/testjs,,https://github.com/kbroman/testjs,,,,,kbroman
highchartR,img/missing.png,https://github.com/jcizel/highchartR,,https://github.com/jcizel/highchartR,,,,,jcizel
great-circles,img/missing.png,https://github.com/homeaway/great-circles,,https://github.com/homeaway/great-circles,,,,,homeaway
sparklines,img/missing.png,https://github.com/Bart6114/sparklines,,https://github.com/Bart6114/sparklines,,,,,Bart6114
highchartR,img/missing.png,https://github.com/jcizel/highchartR,,https://github.com/jcizel/highchartR,,,,,jcizel
rWordCloud,img/missing.png,https://github.com/adymimos/rWordCloud,,https://github.com/adymimos/rWordCloud,,,,,adymimos
c3r,img/missing.png,https://github.com/HarlanH/c3r,,https://github.com/HarlanH/c3r,,,,,HarlanH
dcStockR,img/missing.png,https://github.com/yutannihilation/dcStockR,,https://github.com/yutannihilation/dcStockR,,,,,yutannihilation
scatterMatrixD3,img/missing.png,https://github.com/jcizel/scatterMatrixD3,,https://github.com/jcizel/scatterMatrixD3,,,,,jcizel
